qseqid	sseqid	qlen	slen	qstart	qend	sstart	send	length	mismatch	pident	qcovhsp	qcovs	sstrand	evalue	bitscore	biomarker
AB290882|MOBP	contig_23	100	127030	7	100	74730	74823	94	0	100.0	94.0	94.0	minus	2.7299999999999998e-46	174	oriT
KT754167|IncI-gamma/K1	contig_23	1032	127030	1	1032	112662	113693	1032	8	99.225	100.0	100.0	minus	0.0	1862	replicon
NC_013728_00087|MOBP	contig_23	906	127030	1	906	71677	74385	906	85	90.287	100.0	100.0	minus	0.0	1630	relaxase
NC_014843_00033|MPF_I	contig_23	278	127030	1	278	8589	9422	278	3	98.921	100.0	100.0	plus	4.23e-173	523	mate-pair-formation
NC_022992_00098|MPF_I	contig_23	116	127030	1	116	16053	16400	116	8	93.103	100.0	100.0	plus	1.89e-53	172	mate-pair-formation
NC_012487_00131|MPF_I	contig_23	231	127030	1	231	16415	17107	231	1	99.567	100.0	100.0	plus	2.03e-157	476	mate-pair-formation
NC_022371_00084|MPF_I	contig_23	324	127030	1	324	17121	18092	324	2	99.383	100.0	100.0	plus	0.0	579	mate-pair-formation
NC_014843_00041|MPF_I	contig_23	237	127030	1	237	19427	20137	237	0	100.0	100.0	100.0	plus	1.9500000000000003e-160	484	mate-pair-formation
NC_011754_00109|MPF_I	contig_23	176	127030	1	176	20137	20664	176	1	99.432	100.0	100.0	plus	2.71e-105	323	mate-pair-formation
NC_007365_00035|MPF_I	contig_23	132	127030	16	132	20759	21109	117	12	89.744	89.0	89.0	plus	3.9200000000000004e-56	181	mate-pair-formation
NC_014843_00047|MPF_I	contig_23	401	127030	1	401	26070	27272	401	0	100.0	100.0	100.0	plus	0.0	733	mate-pair-formation
NC_011754_00087|MPF_I	contig_23	767	127030	1	767	39990	42290	767	6	99.218	100.0	100.0	plus	0.0	1427	mate-pair-formation
